,sub_region_1,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2831681,Meghalaya,2020-11-12,-24.0,-18.0,-28.0,9.0,-12.0,10.0
2831682,Meghalaya,2020-11-13,-23.0,-16.0,-23.0,12.0,-26.0,12.0
2831683,Meghalaya,2020-11-14,-24.0,-17.0,-29.0,-3.0,-23.0,13.0
2831684,Meghalaya,2020-11-15,-39.0,-37.0,-29.0,-12.0,-30.0,12.0
2831685,Meghalaya,2020-11-16,-29.0,-24.0,-24.0,6.0,-16.0,12.0
2831686,Meghalaya,2020-11-17,-25.0,-23.0,-28.0,13.0,-10.0,10.0
2831687,Meghalaya,2020-11-18,-27.0,-21.0,-26.0,12.0,-9.0,10.0
2831688,Meghalaya,2020-11-19,-27.0,-21.0,-26.0,10.0,-10.0,11.0
2831689,Meghalaya,2020-11-20,-25.0,-19.0,-23.0,6.0,-9.0,11.0
2831690,Meghalaya,2020-11-21,-25.0,-16.0,-25.0,1.0,-10.0,11.0
2831691,Meghalaya,2020-11-22,-39.0,-37.0,-25.0,-8.0,-29.0,11.0
2831692,Meghalaya,2020-11-23,-29.0,-27.0,-26.0,1.0,-30.0,15.0
2831693,Meghalaya,2020-11-24,-24.0,-24.0,-28.0,11.0,-11.0,11.0
2831694,Meghalaya,2020-11-25,-28.0,-25.0,-25.0,7.0,-21.0,12.0
2831695,Meghalaya,2020-11-26,-30.0,-24.0,-29.0,3.0,-11.0,11.0
2831696,Meghalaya,2020-11-27,-29.0,-25.0,-25.0,6.0,-8.0,11.0
2831697,Meghalaya,2020-11-28,-27.0,-19.0,-27.0,2.0,-12.0,12.0
2831698,Meghalaya,2020-11-29,-39.0,-35.0,-25.0,-6.0,-26.0,11.0
2831699,Meghalaya,2020-11-30,-26.0,-22.0,-22.0,9.0,-17.0,12.0
2831700,Meghalaya,2020-12-01,-25.0,-22.0,-27.0,14.0,-7.0,10.0
2831701,Meghalaya,2020-12-02,-29.0,-18.0,-16.0,7.0,-5.0,10.0
2831702,Meghalaya,2020-12-03,-28.0,-17.0,-16.0,9.0,-6.0,10.0
2831703,Meghalaya,2020-12-04,-30.0,-20.0,-14.0,8.0,-6.0,11.0
2831704,Meghalaya,2020-12-05,-26.0,-14.0,-16.0,0.0,-6.0,10.0
2831705,Meghalaya,2020-12-06,-38.0,-29.0,-15.0,-7.0,-24.0,11.0
2831706,Meghalaya,2020-12-07,-25.0,-16.0,-11.0,11.0,-7.0,10.0
2831707,Meghalaya,2020-12-08,-27.0,-20.0,-17.0,4.0,-6.0,10.0
2831708,Meghalaya,2020-12-09,-28.0,-18.0,-11.0,19.0,-4.0,10.0
2831709,Meghalaya,2020-12-10,-27.0,-17.0,-5.0,24.0,-7.0,12.0
2831710,Meghalaya,2020-12-11,-23.0,-12.0,0.0,24.0,-4.0,13.0
2831711,Meghalaya,2020-12-12,-25.0,-12.0,-1.0,15.0,-10.0,15.0
2831712,Meghalaya,2020-12-13,-38.0,-26.0,1.0,8.0,-20.0,15.0
2831713,Meghalaya,2020-12-14,-24.0,-16.0,1.0,23.0,-3.0,14.0
2831714,Meghalaya,2020-12-15,-21.0,-14.0,-1.0,30.0,-3.0,13.0
2831715,Meghalaya,2020-12-16,-24.0,-12.0,8.0,28.0,-2.0,12.0
2831716,Meghalaya,2020-12-17,-25.0,-10.0,3.0,29.0,-5.0,13.0
2831717,Meghalaya,2020-12-18,-27.0,-13.0,1.0,20.0,-22.0,16.0
2831718,Meghalaya,2020-12-19,-24.0,-9.0,0.0,16.0,-2.0,13.0
2831719,Meghalaya,2020-12-20,-33.0,-18.0,5.0,14.0,-18.0,13.0
2831720,Meghalaya,2020-12-21,-20.0,-6.0,3.0,31.0,-5.0,13.0
2831721,Meghalaya,2020-12-22,-19.0,-7.0,-1.0,36.0,-8.0,12.0
2831722,Meghalaya,2020-12-23,-14.0,3.0,3.0,45.0,-12.0,11.0
2831723,Meghalaya,2020-12-24,-12.0,6.0,3.0,46.0,-30.0,13.0
2831724,Meghalaya,2020-12-25,-46.0,-53.0,8.0,0.0,-56.0,19.0
2831725,Meghalaya,2020-12-26,-35.0,-26.0,4.0,7.0,-22.0,17.0
2831726,Meghalaya,2020-12-27,-40.0,-32.0,8.0,9.0,-24.0,14.0
2831727,Meghalaya,2020-12-28,-28.0,-19.0,5.0,20.0,-25.0,16.0
2831728,Meghalaya,2020-12-29,-28.0,-21.0,1.0,24.0,-25.0,15.0
2831729,Meghalaya,2020-12-30,-28.0,-16.0,5.0,22.0,-28.0,15.0
2831730,Meghalaya,2020-12-31,-18.0,-3.0,5.0,37.0,-27.0,13.0
2831731,Meghalaya,2021-01-01,-52.0,-57.0,18.0,0.0,-55.0,16.0
2831732,Meghalaya,2021-01-02,-38.0,-30.0,4.0,5.0,-18.0,15.0
2831733,Meghalaya,2021-01-03,-42.0,-34.0,12.0,16.0,-23.0,13.0
2831734,Meghalaya,2021-01-04,-28.0,-21.0,2.0,24.0,-11.0,14.0
2831735,Meghalaya,2021-01-05,-28.0,-23.0,-3.0,25.0,-9.0,13.0
2831736,Meghalaya,2021-01-06,-30.0,-21.0,8.0,28.0,-7.0,13.0
2831737,Meghalaya,2021-01-07,-30.0,-24.0,4.0,26.0,-8.0,14.0
2831738,Meghalaya,2021-01-08,-28.0,-22.0,7.0,30.0,-5.0,12.0
2831739,Meghalaya,2021-01-09,-29.0,-19.0,6.0,17.0,-10.0,12.0
2831740,Meghalaya,2021-01-10,-42.0,-33.0,11.0,13.0,-21.0,12.0
2831741,Meghalaya,2021-01-11,-27.0,-20.0,6.0,26.0,-5.0,13.0
2831742,Meghalaya,2021-01-12,-28.0,-23.0,2.0,35.0,-6.0,12.0
2831743,Meghalaya,2021-01-13,-32.0,-22.0,0.0,22.0,-9.0,11.0
2831744,Meghalaya,2021-01-14,-37.0,-30.0,-1.0,-5.0,-20.0,12.0
2831745,Meghalaya,2021-01-15,-36.0,-29.0,1.0,-9.0,-17.0,11.0
2831746,Meghalaya,2021-01-16,-36.0,-28.0,-4.0,-9.0,-16.0,12.0
2831747,Meghalaya,2021-01-17,-46.0,-38.0,2.0,-5.0,-29.0,12.0
2831748,Meghalaya,2021-01-18,-33.0,-29.0,0.0,6.0,-13.0,12.0
2831749,Meghalaya,2021-01-19,-34.0,-29.0,-7.0,7.0,-13.0,12.0
2831750,Meghalaya,2021-01-20,-33.0,-26.0,-4.0,4.0,-12.0,12.0
2831751,Meghalaya,2021-01-21,-34.0,-27.0,-3.0,5.0,-13.0,12.0
2831752,Meghalaya,2021-01-22,-29.0,-24.0,0.0,6.0,-11.0,11.0
2831753,Meghalaya,2021-01-23,-29.0,-20.0,-1.0,0.0,-14.0,13.0
2831754,Meghalaya,2021-01-24,-40.0,-29.0,4.0,-4.0,-26.0,13.0
2831755,Meghalaya,2021-01-25,-24.0,-17.0,5.0,14.0,-9.0,12.0
2831756,Meghalaya,2021-01-26,-49.0,-52.0,15.0,-16.0,-56.0,19.0
2831757,Meghalaya,2021-01-27,-29.0,-19.0,-4.0,4.0,-7.0,11.0
2831758,Meghalaya,2021-01-28,-28.0,-21.0,-6.0,10.0,-9.0,11.0
2831759,Meghalaya,2021-01-29,-26.0,-19.0,-8.0,8.0,-7.0,10.0
2831760,Meghalaya,2021-01-30,-25.0,-11.0,-11.0,12.0,-11.0,10.0
2831761,Meghalaya,2021-01-31,-40.0,-25.0,-12.0,1.0,-28.0,10.0
2831762,Meghalaya,2021-02-01,-26.0,-19.0,-12.0,13.0,-9.0,9.0
2831763,Meghalaya,2021-02-02,-25.0,-15.0,-14.0,19.0,-9.0,7.0
2831764,Meghalaya,2021-02-03,-31.0,-20.0,-16.0,10.0,-13.0,8.0
2831765,Meghalaya,2021-02-04,-30.0,-20.0,-13.0,16.0,-16.0,7.0
2831766,Meghalaya,2021-02-05,-27.0,-18.0,-11.0,24.0,-13.0,7.0
2831767,Meghalaya,2021-02-06,-30.0,-18.0,-14.0,12.0,-16.0,10.0
2831768,Meghalaya,2021-02-07,-42.0,-30.0,-12.0,6.0,-32.0,11.0
2831769,Meghalaya,2021-02-08,-30.0,-21.0,-13.0,21.0,-13.0,9.0
2831770,Meghalaya,2021-02-09,-28.0,-19.0,-17.0,24.0,-11.0,8.0
2831771,Meghalaya,2021-02-10,-28.0,-16.0,-12.0,20.0,-10.0,7.0
2831772,Meghalaya,2021-02-11,-28.0,-17.0,-16.0,17.0,-12.0,8.0
2831773,Meghalaya,2021-02-12,-26.0,-16.0,-14.0,14.0,-10.0,8.0
2831774,Meghalaya,2021-02-13,-22.0,-9.0,-14.0,10.0,-19.0,10.0
2831775,Meghalaya,2021-02-14,-29.0,-16.0,-6.0,10.0,-31.0,6.0
2831776,Meghalaya,2021-02-15,-48.0,-38.0,-26.0,-7.0,-32.0,15.0
2831777,Meghalaya,2021-02-16,-44.0,-37.0,-29.0,-2.0,-29.0,12.0
2831778,Meghalaya,2021-02-17,-24.0,-12.0,-15.0,37.0,-8.0,6.0
2831779,Meghalaya,2021-02-18,-25.0,-12.0,-20.0,24.0,-10.0,8.0
2831780,Meghalaya,2021-02-19,-23.0,-12.0,-13.0,21.0,-7.0,8.0
2831781,Meghalaya,2021-02-20,-20.0,-6.0,-8.0,12.0,-11.0,9.0
2831782,Meghalaya,2021-02-21,-34.0,-19.0,-4.0,2.0,-30.0,11.0
2831783,Meghalaya,2021-02-22,-23.0,-15.0,-14.0,20.0,-7.0,9.0
2831784,Meghalaya,2021-02-23,-23.0,-15.0,-17.0,22.0,-6.0,8.0
2831785,Meghalaya,2021-02-24,-24.0,-11.0,-16.0,25.0,-6.0,8.0
2831786,Meghalaya,2021-02-25,-26.0,-16.0,-16.0,29.0,-8.0,9.0
2831787,Meghalaya,2021-02-26,-22.0,-12.0,-14.0,17.0,-7.0,9.0
2831788,Meghalaya,2021-02-27,-17.0,-4.0,-10.0,20.0,-14.0,10.0
2831789,Meghalaya,2021-02-28,-32.0,-15.0,-11.0,3.0,-29.0,11.0
2831790,Meghalaya,2021-03-01,-23.0,-13.0,-11.0,21.0,-6.0,9.0
2831791,Meghalaya,2021-03-02,-23.0,-12.0,-19.0,21.0,-6.0,6.0
2831792,Meghalaya,2021-03-03,-23.0,-9.0,-16.0,19.0,-7.0,6.0
2831793,Meghalaya,2021-03-04,-23.0,-8.0,-18.0,22.0,-6.0,6.0
2831794,Meghalaya,2021-03-05,-20.0,-7.0,-14.0,20.0,-3.0,5.0
2831795,Meghalaya,2021-03-06,-16.0,1.0,-12.0,10.0,-9.0,8.0
2831796,Meghalaya,2021-03-07,-32.0,-12.0,-7.0,2.0,-28.0,9.0
2831797,Meghalaya,2021-03-08,-21.0,-9.0,-11.0,15.0,-6.0,8.0
2831798,Meghalaya,2021-03-09,-21.0,-10.0,-18.0,18.0,-6.0,7.0
2831799,Meghalaya,2021-03-10,-24.0,-9.0,-17.0,16.0,-4.0,8.0
2831800,Meghalaya,2021-03-11,-22.0,-9.0,-14.0,24.0,-9.0,9.0
2831801,Meghalaya,2021-03-12,-20.0,-8.0,-13.0,22.0,-4.0,8.0
2831802,Meghalaya,2021-03-13,-16.0,0.0,-10.0,11.0,-4.0,10.0
2831803,Meghalaya,2021-03-14,-32.0,-13.0,-5.0,6.0,-28.0,11.0
2831804,Meghalaya,2021-03-15,-22.0,-11.0,-9.0,18.0,-6.0,11.0
2831805,Meghalaya,2021-03-16,-22.0,-11.0,-14.0,20.0,-5.0,10.0
2831806,Meghalaya,2021-03-17,-23.0,-9.0,-10.0,19.0,-2.0,10.0
2831807,Meghalaya,2021-03-18,-22.0,-10.0,-12.0,18.0,-4.0,9.0
2831808,Meghalaya,2021-03-19,-21.0,-7.0,-10.0,20.0,0.0,9.0
2831809,Meghalaya,2021-03-20,-16.0,1.0,-9.0,15.0,4.0,7.0
2831810,Meghalaya,2021-03-21,-31.0,-12.0,-6.0,3.0,-26.0,9.0
2831811,Meghalaya,2021-03-22,-23.0,-13.0,-12.0,15.0,-6.0,8.0
2831812,Meghalaya,2021-03-23,-22.0,-13.0,-16.0,18.0,-3.0,8.0
2831813,Meghalaya,2021-03-24,-20.0,-6.0,-15.0,21.0,-1.0,10.0
2831814,Meghalaya,2021-03-25,-20.0,-8.0,-18.0,24.0,-4.0,10.0
2831815,Meghalaya,2021-03-26,-18.0,-5.0,-14.0,24.0,0.0,10.0
2831816,Meghalaya,2021-03-27,-13.0,4.0,-10.0,12.0,1.0,9.0
2831817,Meghalaya,2021-03-28,-30.0,-11.0,-6.0,-6.0,-24.0,12.0
2831818,Meghalaya,2021-03-29,-30.0,-22.0,-9.0,-1.0,-42.0,18.0
2831819,Meghalaya,2021-03-30,-28.0,-17.0,-23.0,5.0,-4.0,10.0
2831820,Meghalaya,2021-03-31,-24.0,-8.0,-19.0,10.0,-3.0,8.0
2831821,Meghalaya,2021-04-01,-18.0,-3.0,-16.0,12.0,-8.0,8.0
2831822,Meghalaya,2021-04-02,-45.0,-39.0,-19.0,-16.0,-53.0,20.0
2831823,Meghalaya,2021-04-03,-10.0,14.0,-7.0,11.0,-8.0,10.0
2831824,Meghalaya,2021-04-04,-33.0,-16.0,-6.0,-3.0,-27.0,11.0
2831825,Meghalaya,2021-04-05,-19.0,-7.0,-2.0,10.0,-11.0,10.0
2831826,Meghalaya,2021-04-06,-20.0,-8.0,-18.0,11.0,-7.0,9.0
2831827,Meghalaya,2021-04-07,-20.0,0.0,-15.0,21.0,-2.0,7.0
2831828,Meghalaya,2021-04-08,-21.0,-6.0,-18.0,22.0,-3.0,9.0
2831829,Meghalaya,2021-04-09,-14.0,0.0,-16.0,21.0,0.0,8.0
2831830,Meghalaya,2021-04-10,-14.0,6.0,-11.0,16.0,-12.0,11.0
2831831,Meghalaya,2021-04-11,-32.0,-14.0,-10.0,5.0,-28.0,14.0
2831832,Meghalaya,2021-04-12,-24.0,-21.0,-14.0,5.0,-27.0,14.0
2831833,Meghalaya,2021-04-13,-16.0,-1.0,-18.0,29.0,-3.0,9.0
2831834,Meghalaya,2021-04-14,-19.0,-1.0,-13.0,14.0,-17.0,12.0
2831835,Meghalaya,2021-04-15,-21.0,-5.0,-18.0,4.0,-9.0,12.0
2831836,Meghalaya,2021-04-16,-24.0,-10.0,-21.0,7.0,-3.0,10.0
2831837,Meghalaya,2021-04-17,-16.0,5.0,-19.0,4.0,-8.0,12.0
2831838,Meghalaya,2021-04-18,-52.0,-45.0,-21.0,-12.0,-36.0,17.0
2831839,Meghalaya,2021-04-19,-19.0,-6.0,-16.0,10.0,-1.0,12.0
2831840,Meghalaya,2021-04-20,-22.0,-8.0,-24.0,11.0,-1.0,13.0
2831841,Meghalaya,2021-04-21,-24.0,-8.0,-24.0,5.0,-7.0,13.0
2831842,Meghalaya,2021-04-22,-24.0,-9.0,-26.0,3.0,-7.0,13.0
2831843,Meghalaya,2021-04-23,-24.0,-7.0,-27.0,5.0,-6.0,13.0
2831844,Meghalaya,2021-04-24,-22.0,-1.0,-26.0,-4.0,-15.0,14.0
2831845,Meghalaya,2021-04-25,-54.0,-49.0,-28.0,-31.0,-37.0,18.0
2831846,Meghalaya,2021-04-26,-38.0,-27.0,-27.0,-11.0,-14.0,17.0
2831847,Meghalaya,2021-04-27,-38.0,-30.0,-28.0,-11.0,-14.0,17.0
2831848,Meghalaya,2021-04-28,-39.0,-27.0,-30.0,-11.0,-17.0,17.0
2831849,Meghalaya,2021-04-29,-31.0,-14.0,-28.0,-3.0,-15.0,15.0
2831850,Meghalaya,2021-04-30,-22.0,-4.0,-24.0,18.0,-13.0,12.0
2831851,Meghalaya,2021-05-01,-63.0,-52.0,-41.0,-39.0,-38.0,27.0
2831852,Meghalaya,2021-05-02,-71.0,-65.0,-42.0,-58.0,-47.0,26.0
2831853,Meghalaya,2021-05-03,-60.0,-49.0,-32.0,-40.0,-37.0,25.0
2831854,Meghalaya,2021-05-04,-58.0,-48.0,-36.0,-37.0,-36.0,26.0
2831855,Meghalaya,2021-05-05,-53.0,-34.0,-36.0,-25.0,-38.0,25.0
2831856,Meghalaya,2021-05-06,-74.0,-69.0,-43.0,-55.0,-56.0,33.0
2831857,Meghalaya,2021-05-07,-68.0,-57.0,-41.0,-48.0,-51.0,31.0
2831858,Meghalaya,2021-05-08,-74.0,-67.0,-45.0,-59.0,-54.0,34.0
2831859,Meghalaya,2021-05-09,-78.0,-74.0,-47.0,-66.0,-52.0,30.0
2831860,Meghalaya,2021-05-10,-62.0,-52.0,-36.0,-46.0,-46.0,31.0
2831861,Meghalaya,2021-05-11,-63.0,-56.0,-40.0,-46.0,-47.0,29.0
2831862,Meghalaya,2021-05-12,-65.0,-54.0,-40.0,-45.0,-47.0,30.0
2831863,Meghalaya,2021-05-13,-68.0,-57.0,-42.0,-52.0,-50.0,30.0
2831864,Meghalaya,2021-05-14,-65.0,-53.0,-37.0,-48.0,-59.0,32.0
2831865,Meghalaya,2021-05-15,-79.0,-78.0,-41.0,-71.0,-57.0,36.0
2831866,Meghalaya,2021-05-16,-77.0,-73.0,-42.0,-70.0,-50.0,30.0
2831867,Meghalaya,2021-05-17,-62.0,-50.0,-31.0,-45.0,-46.0,32.0
2831868,Meghalaya,2021-05-18,-67.0,-58.0,-38.0,-46.0,-49.0,31.0
2831869,Meghalaya,2021-05-19,-58.0,-44.0,-34.0,-32.0,-47.0,28.0
2831870,Meghalaya,2021-05-20,-78.0,-75.0,-44.0,-64.0,-58.0,36.0
2831871,Meghalaya,2021-05-21,-72.0,-67.0,-37.0,-61.0,-55.0,34.0
2831872,Meghalaya,2021-05-22,-82.0,-82.0,-45.0,-73.0,-59.0,38.0
2831873,Meghalaya,2021-05-23,-79.0,-79.0,-45.0,-73.0,-51.0,32.0
2831874,Meghalaya,2021-05-24,-73.0,-67.0,-37.0,-54.0,-58.0,36.0
2831875,Meghalaya,2021-05-25,-75.0,-73.0,-40.0,-62.0,-59.0,35.0
2831876,Meghalaya,2021-05-26,-76.0,-73.0,-40.0,-59.0,-61.0,36.0
2831877,Meghalaya,2021-05-27,-73.0,-67.0,-39.0,-61.0,-58.0,35.0
2831878,Meghalaya,2021-05-28,-65.0,-60.0,-30.0,-45.0,-53.0,32.0
2831879,Meghalaya,2021-05-29,-76.0,-77.0,-36.0,-68.0,-54.0,36.0
2831880,Meghalaya,2021-05-30,-74.0,-74.0,-37.0,-68.0,-48.0,30.0
2831881,Meghalaya,2021-05-31,-69.0,-66.0,-31.0,-59.0,-52.0,35.0
2831882,Meghalaya,2021-06-01,-64.0,-57.0,-28.0,-48.0,-48.0,31.0
2831883,Meghalaya,2021-06-02,-65.0,-58.0,-26.0,-47.0,-48.0,31.0
2831884,Meghalaya,2021-06-03,-67.0,-60.0,-26.0,-52.0,-50.0,32.0
2831885,Meghalaya,2021-06-04,-58.0,-48.0,-22.0,-38.0,-45.0,30.0
2831886,Meghalaya,2021-06-05,-72.0,-71.0,-30.0,-63.0,-50.0,34.0
2831887,Meghalaya,2021-06-06,-71.0,-68.0,-32.0,-64.0,-44.0,29.0
2831888,Meghalaya,2021-06-07,-59.0,-52.0,-18.0,-41.0,-43.0,30.0
2831889,Meghalaya,2021-06-08,-61.0,-57.0,-24.0,-48.0,-45.0,30.0
2831890,Meghalaya,2021-06-09,-60.0,-54.0,-23.0,-42.0,-45.0,28.0
2831891,Meghalaya,2021-06-10,-63.0,-59.0,-26.0,-49.0,-47.0,29.0
2831892,Meghalaya,2021-06-11,-56.0,-48.0,-20.0,-35.0,-42.0,28.0
2831893,Meghalaya,2021-06-12,-69.0,-68.0,-30.0,-58.0,-49.0,33.0
2831894,Meghalaya,2021-06-13,-69.0,-66.0,-30.0,-60.0,-44.0,28.0
2831895,Meghalaya,2021-06-14,-55.0,-47.0,-19.0,-38.0,-39.0,28.0
2831896,Meghalaya,2021-06-15,-59.0,-55.0,-23.0,-41.0,-41.0,27.0
2831897,Meghalaya,2021-06-16,-53.0,-45.0,-19.0,-36.0,-39.0,25.0
2831898,Meghalaya,2021-06-17,-60.0,-52.0,-22.0,-40.0,-42.0,26.0
2831899,Meghalaya,2021-06-18,-53.0,-42.0,-19.0,-36.0,-38.0,26.0
2831900,Meghalaya,2021-06-19,-67.0,-64.0,-28.0,-54.0,-44.0,30.0
2831901,Meghalaya,2021-06-20,-68.0,-64.0,-29.0,-59.0,-44.0,26.0
2831902,Meghalaya,2021-06-21,-53.0,-44.0,-18.0,-40.0,-37.0,26.0
2831903,Meghalaya,2021-06-22,-58.0,-51.0,-22.0,-38.0,-45.0,26.0
2831904,Meghalaya,2021-06-23,-53.0,-42.0,-21.0,-38.0,-36.0,24.0
2831905,Meghalaya,2021-06-24,-58.0,-50.0,-24.0,-37.0,-39.0,25.0
2831906,Meghalaya,2021-06-25,-47.0,-36.0,-19.0,-36.0,-32.0,24.0
2831907,Meghalaya,2021-06-26,-62.0,-62.0,-27.0,-49.0,-42.0,28.0
2831908,Meghalaya,2021-06-27,-65.0,-62.0,-26.0,-54.0,-42.0,25.0
2831909,Meghalaya,2021-06-28,-48.0,-40.0,-19.0,-36.0,-32.0,24.0
2831910,Meghalaya,2021-06-29,-59.0,-52.0,-27.0,-43.0,-37.0,26.0
2831911,Meghalaya,2021-06-30,-56.0,-49.0,-25.0,-41.0,-34.0,24.0
2831912,Meghalaya,2021-07-01,-49.0,-37.0,-20.0,-30.0,-33.0,23.0
2831913,Meghalaya,2021-07-02,-46.0,-33.0,-24.0,-29.0,-30.0,23.0
2831914,Meghalaya,2021-07-03,-61.0,-56.0,-29.0,-46.0,-39.0,29.0
2831915,Meghalaya,2021-07-04,-63.0,-57.0,-25.0,-50.0,-41.0,24.0
2831916,Meghalaya,2021-07-05,-43.0,-34.0,-17.0,-26.0,-31.0,24.0
2831917,Meghalaya,2021-07-06,-44.0,-32.0,-18.0,-25.0,-30.0,22.0
2831918,Meghalaya,2021-07-07,-50.0,-39.0,-21.0,-26.0,-32.0,23.0
2831919,Meghalaya,2021-07-08,-44.0,-30.0,-16.0,-24.0,-31.0,21.0
2831920,Meghalaya,2021-07-09,-40.0,-24.0,-17.0,-24.0,-28.0,21.0
2831921,Meghalaya,2021-07-10,-53.0,-47.0,-22.0,-38.0,-36.0,25.0
2831922,Meghalaya,2021-07-11,-61.0,-56.0,-22.0,-48.0,-38.0,23.0
2831923,Meghalaya,2021-07-12,-43.0,-32.0,-15.0,-26.0,-31.0,22.0
2831924,Meghalaya,2021-07-13,-42.0,-30.0,-14.0,-23.0,-29.0,20.0
2831925,Meghalaya,2021-07-14,-41.0,-30.0,-15.0,-23.0,-29.0,20.0
2831926,Meghalaya,2021-07-15,-42.0,-29.0,-15.0,-25.0,-30.0,20.0
2836329,Mizoram,2020-02-15,4.0,10.0,7.0,8.0,7.0,0.0
2836330,Mizoram,2020-02-16,-1.0,5.0,1.0,2.0,1.0,3.0
2836331,Mizoram,2020-02-17,2.0,-1.0,5.0,4.0,6.0,1.0
2836332,Mizoram,2020-02-18,0.0,1.0,5.0,7.0,5.0,1.0
2836333,Mizoram,2020-02-19,1.0,2.0,6.0,3.0,3.0,0.0
2836334,Mizoram,2020-02-20,-2.0,-4.0,15.0,-4.0,-32.0,4.0
2836335,Mizoram,2020-02-21,5.0,8.0,13.0,15.0,2.0,1.0
2836336,Mizoram,2020-02-22,3.0,9.0,16.0,13.0,5.0,1.0
2836337,Mizoram,2020-02-23,1.0,3.0,5.0,6.0,1.0,3.0
2836338,Mizoram,2020-02-24,5.0,2.0,16.0,9.0,5.0,0.0
2836339,Mizoram,2020-02-25,1.0,5.0,14.0,9.0,5.0,1.0
2836340,Mizoram,2020-02-26,-10.0,-12.0,2.0,-3.0,-1.0,3.0
2836341,Mizoram,2020-02-27,14.0,9.0,16.0,12.0,1.0,-1.0
2836342,Mizoram,2020-02-28,13.0,12.0,17.0,14.0,1.0,0.0
2836343,Mizoram,2020-02-29,19.0,15.0,27.0,25.0,3.0,-1.0
2836344,Mizoram,2020-03-01,24.0,5.0,29.0,17.0,-4.0,1.0
2836345,Mizoram,2020-03-02,14.0,8.0,26.0,11.0,0.0,-3.0
2836346,Mizoram,2020-03-03,6.0,10.0,18.0,16.0,6.0,0.0
2836347,Mizoram,2020-03-04,10.0,18.0,25.0,16.0,5.0,-1.0
2836348,Mizoram,2020-03-05,23.0,23.0,23.0,22.0,2.0,-2.0
2836349,Mizoram,2020-03-06,36.0,25.0,28.0,17.0,-32.0,2.0
2836350,Mizoram,2020-03-07,7.0,13.0,16.0,14.0,8.0,0.0
2836351,Mizoram,2020-03-08,3.0,9.0,15.0,12.0,5.0,2.0
2836352,Mizoram,2020-03-09,17.0,22.0,19.0,16.0,3.0,-1.0
2836353,Mizoram,2020-03-10,4.0,12.0,23.0,11.0,-31.0,3.0
2836354,Mizoram,2020-03-11,4.0,8.0,14.0,11.0,3.0,-1.0
2836355,Mizoram,2020-03-12,5.0,3.0,17.0,12.0,3.0,0.0
2836356,Mizoram,2020-03-13,6.0,4.0,21.0,13.0,4.0,-1.0
2836357,Mizoram,2020-03-14,5.0,7.0,20.0,23.0,4.0,0.0
2836358,Mizoram,2020-03-15,-2.0,1.0,12.0,11.0,2.0,2.0
2836359,Mizoram,2020-03-16,3.0,6.0,18.0,14.0,5.0,-1.0
2836360,Mizoram,2020-03-17,-1.0,3.0,5.0,14.0,-7.0,0.0
2836361,Mizoram,2020-03-18,-1.0,4.0,10.0,7.0,-12.0,0.0
2836362,Mizoram,2020-03-19,-6.0,-3.0,8.0,0.0,-14.0,1.0
2836363,Mizoram,2020-03-20,-14.0,0.0,3.0,-9.0,-13.0,3.0
2836364,Mizoram,2020-03-21,-16.0,-1.0,-1.0,-5.0,-2.0,0.0
2836365,Mizoram,2020-03-22,-47.0,-41.0,-29.0,-53.0,-26.0,10.0
2836366,Mizoram,2020-03-23,-65.0,-65.0,-23.0,-55.0,-53.0,15.0
2836367,Mizoram,2020-03-24,-69.0,-68.0,-32.0,-63.0,-57.0,17.0
2836368,Mizoram,2020-03-25,-66.0,-61.0,-28.0,-64.0,-59.0,16.0
2836369,Mizoram,2020-03-26,-71.0,-70.0,-32.0,-69.0,-62.0,19.0
2836370,Mizoram,2020-03-27,-70.0,-70.0,-33.0,-67.0,-59.0,19.0
2836371,Mizoram,2020-03-28,-68.0,-72.0,-29.0,-66.0,-42.0,16.0
2836372,Mizoram,2020-03-29,-49.0,-45.0,-30.0,-58.0,-25.0,12.0
2836373,Mizoram,2020-03-30,-66.0,-68.0,-25.0,-64.0,-58.0,16.0
2836374,Mizoram,2020-03-31,-66.0,-66.0,-28.0,-61.0,-57.0,16.0
2836375,Mizoram,2020-04-01,-67.0,-68.0,-28.0,-65.0,-59.0,16.0
2836376,Mizoram,2020-04-02,-65.0,-66.0,-24.0,-64.0,-57.0,16.0
2836377,Mizoram,2020-04-03,-65.0,-64.0,-28.0,-62.0,-54.0,16.0
2836378,Mizoram,2020-04-04,-62.0,-62.0,-19.0,-55.0,-33.0,11.0
2836379,Mizoram,2020-04-05,-48.0,-39.0,-30.0,-57.0,-20.0,10.0
2836380,Mizoram,2020-04-06,-67.0,-65.0,-14.0,-59.0,-58.0,16.0
2836381,Mizoram,2020-04-07,-76.0,-51.0,-10.0,-49.0,-54.0,14.0
2836382,Mizoram,2020-04-08,-77.0,-53.0,-8.0,-49.0,-56.0,15.0
2836383,Mizoram,2020-04-09,-75.0,-50.0,-5.0,-47.0,-55.0,15.0
2836384,Mizoram,2020-04-10,-81.0,-61.0,-11.0,-55.0,-63.0,20.0
2836385,Mizoram,2020-04-11,-73.0,-44.0,,-38.0,-36.0,14.0
2836386,Mizoram,2020-04-12,-65.0,-22.0,-8.0,-43.0,-22.0,10.0
