District,State,Population,Growth,Sex-Ratio,Literacy
Raigarh_2,Chhattisgarh,1493984,18.05%,991,73.26
Deoghar,Jharkhand,1492073,28.03%,925,64.85
Bargarh,Orissa,1481255,10.02%,977,74.62
Vidisha,Madhya Pradesh,1458875,20.09%,896,70.53
Karauli,Rajasthan,1458248,20.55%,861,66.22
Ratlam,Madhya Pradesh,1455069,19.72%,971,66.78
Sonipat,Haryana,1450001,13.35%,856,79.12
Tikamgarh,Madhya Pradesh,1445166,20.13%,901,61.43
Kendrapara,Orissa,1440361,10.63%,1007,85.15
Uttara Kannada,Karnataka,1437169,6.17%,979,84.06
Kasganj,Uttar Pradesh,1436719,16.93%,880,61.02
Tonk,Rajasthan,1421326,17.30%,952,61.58
Bastar,Chhattisgarh,1413199,17.96%,1023,54.4
Jhalawar,Rajasthan,1411129,19.55%,946,61.5
Gandhinagar,Gujarat,1391753,4.29%,923,84.16
Koppal,Karnataka,1389920,16.21%,986,68.09
Dungarpur,Rajasthan,1388552,25.36%,994,59.46
Bathinda,Punjab,1388525,17.34%,868,68.28
Barwani,Madhya Pradesh,1385881,27.57%,982,49.08
Koraput,Orissa,1379647,16.86%,1032,49.21
Auraiya,Uttar Pradesh,1379545,16.91%,864,78.95
Seoni,Madhya Pradesh,1379131,18.22%,982,72.12
Munger,Bihar,1367765,20.21%,876,70.46
Ramanathapuram,Tamil Nadu,1353445,13.96%,983,80.72
Patan,Gujarat,1343734,13.61%,935,72.3
Mandsaur,Madhya Pradesh,1340411,13.24%,963,71.78
Sivaganga,Tamil Nadu,1339101,15.90%,1003,79.85
Sawai Madhopur,Rajasthan,1335551,19.56%,897,65.39
Jind,Haryana,1334152,12.13%,871,71.44
Raisen,Madhya Pradesh,1331597,18.35%,901,72.98
Navsari,Gujarat,1329672,8.15%,961,83.88
Tinsukia,Assam,1327929,15.47%,952,69.66
Dibrugarh,Assam,1326335,11.92%,961,76.05
Garhwa,Jharkhand,1322784,27.75%,935,60.33
Gondiya,Maharashtra,1322507,10.14%,999,84.95
Dumka,Jharkhand,1321442,19.42%,977,61.02
Godda,Jharkhand,1313551,25.35%,938,56.4
Sehore,Madhya Pradesh,1311332,21.54%,918,70.06
East Nimar,Madhya Pradesh,1310061,21.50%,943,66.39
Kasaragod,Kerala,1307375,8.58%,1080,90.09
Baghpat,Uttar Pradesh,1303048,11.95%,861,72.01
Wardha,Maharashtra,1300774,5.18%,946,86.99
Sirsa,Haryana,1295189,15.99%,897,68.82
Katni,Madhya Pradesh,1292042,21.41%,952,71.98
Anugul,Orissa,1273821,11.74%,943,77.53
Thiruvarur,Tamil Nadu,1264277,8.11%,1017,82.86
Damoh,Madhya Pradesh,1264219,16.63%,910,69.73
Chikkaballapura,Karnataka,1255104,9.23%,972,69.76
Kamrup Metropolitan,Assam,1253938,18.34%,936,88.71
Theni,Tamil Nadu,1245899,13.89%,991,77.26
Guna,Madhya Pradesh,1241519,26.97%,912,63.23
Hoshangabad,Madhya Pradesh,1241350,14.49%,914,75.29
Srinagar,Jammu and Kashmir,1236829,20.35%,900,69.41
Karimganj,Assam,1228686,21.90%,963,78.22
Baran,Rajasthan,1222755,19.68%,929,66.66
Lalitpur,Uttar Pradesh,1221592,24.94%,906,63.52
Nabarangapur,Orissa,1220946,19.03%,1019,46.43
Yamunanagar,Haryana,1214205,16.57%,877,77.99
Korba,Chhattisgarh,1206640,19.25%,969,72.37
Dhaulpur,Rajasthan,1206516,22.71%,846,69.08
Panipat,Haryana,1205437,24.60%,864,75.94
Bhandara,Maharashtra,1200334,5.65%,982,83.76
Pathanamthitta,Kerala,1197412,-2.97%,1132,96.55
Washim,Maharashtra,1197160,17.34%,930,83.25
Dhenkanal,Orissa,1192811,11.80%,947,78.76
Singrauli,Madhya Pradesh,1178273,28.05%,920,60.41
Udupi,Karnataka,1177361,5.85%,1094,86.24
Hingoli,Maharashtra,1177345,19.27%,942,78.17
Yadgir,Karnataka,1174271,22.81%,989,51.83
