,dateymd,confirmed,recovered,deaths,Dose1,Dose2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,visit,staying,State_population
159,20210309,260,267,2,0.01372012697400498,0.004302147756339482,-11.655396190082293,26.61996238223255,-10.0,-1.4138490475205732,-13.62158476032917,5.2415471425617195,-0.0670017490311066,0.1137535602174711,84580777
160,20210310,309,269,3,0.014381069116922395,0.0044987881820948514,-11.069245237602866,30.17230190495885,-9.0,-0.6892076198354147,-22.344603809917707,6.586150952479427,-0.111075047977982,0.1162506521731291,84580777
161,20210311,368,194,5,0.01446741261315204,0.004512727519634869,-6.138490475205732,22.275358572314843,-2.0,-8.069245237602866,-38.896943332644014,11.069245237602866,-0.1539452604346493,0.1230971386882624,84580777
162,20210312,391,303,2,0.01494563002181926,0.004628084700617021,-11.483094285123439,23.964566192150254,-9.0,-4.2415471425617195,-19.690829997932035,8.069245237602866,-0.0970541837290049,0.1126237620753945,84580777
163,20210313,391,300,4,0.01564612015801179,0.00474834843382912,-15.138490475205732,22.550717144629683,-11.0,-6.0,-14.655396190082293,7.0,-0.0927271400944921,0.1168218672850451,84580777
164,20210314,526,316,3,0.015928276468777296,0.004806092050916014,-9.0,19.689207619835415,-9.0,-0.516905714876561,-1.8276980950411463,3.1723019049588537,-0.0615530475119659,0.1203057197627777,84580777
165,20210315,304,269,2,0.017209631450891022,0.004963279067535641,-12.827698095041146,25.033811429753122,-12.0,-1.4138490475205732,-11.449282855370317,6.2415471425617195,-0.0366409358606388,0.1058243420724309,84580777
166,20210316,465,295,2,0.018240161118406373,0.0051375030522597355,-13.586150952479427,23.033811429753122,-14.0,-4.172301904958854,-13.035433807849744,6.2415471425617195,-0.0594236444407456,0.1157326069183544,84580777
167,20210317,500,295,4,0.01948771409371186,0.00529459548473999,-15.413849047520573,26.61996238223255,-15.0,-3.930754762397134,-9.035433807849744,6.2415471425617195,-0.0883130233971485,0.1146342397014158,84580777
168,20210318,496,228,3,0.020926729013142076,0.005534827375728648,-15.586150952479427,26.61996238223255,-16.0,-4.586150952479427,-10.449282855370317,7.2415471425617195,-0.0833966683933395,0.1136404517146963,84580777
169,20210319,559,273,3,0.022320343545673506,0.005787958178724227,-15.586150952479427,28.861509524794272,-16.0,-2.3446038099177073,-7.86313190289089,7.827698095041146,-0.0872251228574076,0.1145142381560292,84580777
170,20210320,744,393,4,0.023713615210699708,0.005919950345218512,-15.138490475205732,24.206113334711976,-11.0,-2.0,-0.3107923801645853,5.0,-0.0346664851185985,0.1072289486964632,84580777
171,20210321,762,457,3,0.023713615210699708,0.005919950345218512,-8.24154714256172,22.689207619835415,-7.0,-3.3446038099177073,1.1723019049588537,4.586150952479427,-0.0561468157131022,0.1238295446181583,84580777
172,20210322,647,295,4,0.025480104066672265,0.006044423072632686,-14.24154714256172,25.86150952479427,-13.0,-3.413849047520573,-8.86313190289089,6.655396190082293,-0.0456370608076821,0.1074954797085867,84580777
173,20210323,904,472,5,0.02749607041325714,0.006328943986882504,-14.24154714256172,25.033811429753122,-13.0,-4.0,-10.86313190289089,6.655396190082293,-0.0578915779298173,0.1165683355481588,84580777
174,20210324,1016,479,6,0.029261554312748864,0.006469980761704281,-14.827698095041146,28.447660477273697,-14.0,-1.9307547623971342,-10.276980950411463,6.2415471425617195,-0.0631753563803274,0.1136752854358384,84580777
175,20210325,1251,388,8,0.031208497883626677,0.006652232575257614,-16.41384904752057,29.619962382232547,-16.0,-3.0,-11.518528092973183,7.2415471425617195,-0.0706675002691214,0.1139154739597627,84580777
176,20210326,1502,510,5,0.032740654534303935,0.006839083542587933,-18.75845285743828,21.0,-20.0,-11.033811429753122,-17.552339522726307,11.0,-0.1327303472942794,0.1256990252468359,84580777
177,20210327,1442,624,2,0.03451947479744718,0.007007242319374767,-16.13849047520573,24.7922642871914,-12.0,-2.6553961900822927,-4.380037617767451,5.827698095041146,-0.0454404338151208,0.1118290001196134,84580777
178,20210328,1540,602,5,0.03465917557130032,0.007025887217848566,-11.724641427685158,16.033811429753122,-8.0,-7.655396190082293,0.6892076198354147,5.413849047520573,-0.0870216754526859,0.1281164669904841,84580777
179,20210329,1400,595,7,0.03529671996274047,0.007074598049625389,-15.069245237602866,19.48147190702682,-13.0,-14.793886665288024,-32.24316952065834,12.724641427685158,-0.1407818673056172,0.1276853584484096,84580777
180,20210330,1456,844,7,0.037316008577220804,0.007216616134893157,-15.655396190082293,23.86150952479427,-14.0,-6.827698095041146,-12.518528092973183,6.655396190082293,-0.0788835451859232,0.1180717213060126,84580777
181,20210331,1868,850,7,0.03875453875293673,0.0073668512172689075,-16.655396190082293,25.275358572314843,-15.0,-6.586150952479427,-12.276980950411463,6.655396190082293,-0.1168541252358086,0.119804888559489,84580777
182,20210401,2158,801,7,0.040842164408113675,0.007560051144954604,-17.24154714256172,28.206113334711976,-16.0,-5.655396190082293,-13.10467904545261,7.655396190082293,-0.1174701476264518,0.1198687284471269,84580777
183,20210402,2253,922,10,0.043090985082816155,0.007768337242870209,-15.827698095041146,31.86150952479427,-15.0,-8.586150952479427,-30.724641427685157,12.413849047520573,-0.1391962256647275,0.128625547843572,84580777
